obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('108',)",3773073033,14,3.533360004,3779218472,3779218544,3773073033,0,internal_timestamp,64.65599823,1564084233,33.7533989,0,8.282299995,1026.551591,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('109',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65699768,1564084233,33.75360107,0,8.282299995,1026.551754,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('110',)",3773073034,14,3.533370018,3779218472,3779218544,3773073034,0,internal_timestamp,64.65799713,1564084234,33.75360107,0,8.282299995,1026.551758,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('111',)",3773073034,14,3.533370018,3779218472,3779218544,3773073034,0,internal_timestamp,64.66000366,1564084234,33.75360107,0,8.28219986,1026.551783,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('112',)",3773073034,14,3.533360004,3779218472,3779218544,3773073034,0,internal_timestamp,64.65799713,1564084234,33.75350189,0,8.28219986,1026.551696,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('113',)",3773073034,14,3.533349991,3779218472,3779218544,3773073034,0,internal_timestamp,64.65899658,1564084234,33.7533989,0,8.28219986,1026.55162,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('114',)",3773073034,14,3.533329964,3779218472,3779218544,3773073034,0,internal_timestamp,64.65899658,1564084234,33.75329971,0,8.28219986,1026.551542,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('115',)",3773073034,14,3.533329964,3779218472,3779218544,3773073034,0,internal_timestamp,64.66000366,1564084234,33.75320053,0,8.28219986,1026.551469,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('116',)",3773073034,14,3.533339977,3779218472,3779218544,3773073034,0,internal_timestamp,64.65899658,1564084234,33.75329971,0,8.282099724,1026.551557,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('117',)",3773073034,14,3.533339977,3779218472,3779218544,3773073034,0,internal_timestamp,64.66000366,1564084234,33.75350189,0,8.282099724,1026.55172,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('118',)",3773073034,14,3.533360004,3779218472,3779218544,3773073034,0,internal_timestamp,64.66000366,1564084234,33.75379944,0,8.281900406,1026.551984,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
